,,,,,,,,,,,,,
,,,,,,,,,,,,,
,CODIGOS INVOLUCRADOS EN PEDIDOS JUNIO NOVIEMBRE,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Código II, Q. según pedidos, Promedio VTA, m3 x unidad, m3 x Inner, m3 x Master, Unidades x Inner, Unidades x Master, Peso [kgrs], Alto [mm], Ancho [mm], Largo [mm],,Es Sensible,Apto VLM
,48,"  1,923 ",  278 ,  0.0005 ,  0.0055 ,  0.0545 ,  10 ,  100 ,  0.10 ,  27.50 ,  85.00 ,  345.00 ,,NO,SI
,49,  47 ,  8 ,  0.0001 ,  -   ,  0.0060 ,  -   ,  50 ,  0.12 ,  35.00 ,  45.00 ,  40.00 ,,NO,SI
,50,  52 ,  9 ,  0.0002 ,  -   ,  0.0044 ,  -   ,  25 ,  0.70 ,  20.00 ,  100.00 ,  60.00 ,,NO,SI
,51,  413 ,  53 ,  0.0031 ,  -   ,  0.0313 ,  -   ,  10 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,52,  229 ,  31 ,  0.0026 ,  -   ,  0.0255 ,  -   ,  10 ,  1.97 ,  31.30 ,  180.00 ,  900.00 ,,NO,SI
,53,  325 ,  118 ,  0.0029 ,  -   ,  0.0343 ,  -   ,  12 ,  1.11 ,  35.00 ,  205.00 ,  630.00 ,,NO,SI
,5158,  256 ,  -   ,  0.0045 , #VALUE!,  0.0542 , -,  12 ,  1.11 ,  35.00 ,  205.00 ,  630.00 ,,NO,SI
,54,"  1,580 ",  269 ,  0.0036 ,  -   ,  0.0655 ,  -   ,  18 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,55,"  2,350 ",  408 ,  0.0008 ,  0.0076 ,  0.0458 ,  10 ,  60 ,  0.43 ,  27.50 ,  105.00 ,  245.00 ,,NO,SI
,56,"  2,804 ",  536 ,  0.0002 ,  0.0041 ,  0.0203 ,  20 ,  100 ,  0.10 ,  15.00 ,  73.00 ,  162.00 ,,NO,SI
,57,"  1,006 ",  171 ,  0.0002 ,  0.0041 ,  0.0203 ,  20 ,  100 ,  0.10 ,  15.00 ,  73.00 ,  162.00 ,,NO,SI
,58,"  1,196 ",  202 ,  0.0013 ,  -   ,  0.0312 ,  -   ,  24 ,  0.34 ,  45.00 ,  155.00 ,  155.00 ,,NO,SI
,59,"  3,781 ",  336 ,  0.0002 ,  0.0025 ,  0.0200 ,  13 ,  104 ,  0.05 ,  8.70 ,  60.00 ,  120.36 ,,NO,SI
,60,  326 ,  120 ,  0.0017 ,  -   ,  0.0175 ,  -   ,  10 ,  1.40 ,  63.00 ,  95.00 ,  250.00 ,,NO,SI
,61,  912 ,  133 ,  0.0002 ,  0.0095 ,  0.0189 ,  50 ,  100 ,  0.07 ,  10.75 ,  60.00 ,  250.00 ,,NO,SI
,62,"  1,440 ",  244 ,  0.0002 ,  0.0092 ,  0.0183 ,  50 ,  100 ,  0.11 ,  13.13 ,  60.00 ,  250.00 ,,NO,SI
,63,"  1,510 ",  249 ,  0.0002 ,  0.0092 ,  0.0183 ,  50 ,  100 ,  0.11 ,  13.03 ,  60.00 ,  250.00 ,,NO,SI
,64,"  1,119 ",  183 ,  0.0007 ,  0.0169 ,  0.0337 ,  25 ,  50 ,  0.30 ,  19.00 ,  110.00 ,  350.00 ,,NO,SI
,65,  489 ,  84 ,  0.0008 ,  0.0120 ,  0.0240 ,  15 ,  30 ,  0.65 ,  20.50 ,  110.00 ,  330.00 ,,NO,SI
,66,  895 ,  182 ,  0.0004 ,  0.0021 ,  0.0169 ,  5 ,  40 ,  0.20 ,  22.22 ,  60.00 ,  200.00 ,,NO,SI
,67,"  1,013 ",  157 ,  0.0004 ,  0.0021 ,  0.0169 ,  5 ,  40 ,  0.30 ,  29.47 ,  60.00 ,  200.00 ,,NO,SI
,68,  757 ,  102 ,  0.0003 ,  -   ,  0.0287 ,  -   ,  100 ,  0.18 ,  36.00 ,  40.00 ,  63.00 ,,NO,SI
,69,  478 ,  66 ,  0.0003 ,  -   ,  0.0149 ,  -   ,  50 ,  0.14 ,  50.00 ,  80.00 ,  50.00 ,,NO,SI
,70,"  3,317 ",  562 ,  0.0003 ,  -   ,  0.0149 ,  -   ,  50 ,  0.30 ,  50.00 ,  80.00 ,  50.00 ,,NO,SI
,71,  550 ,  107 ,  0.0003 ,  -   ,  0.0149 ,  -   ,  50 ,  0.26 ,  42.00 ,  42.00 ,  66.00 ,,NO,SI
,72,  937 ,  170 ,  0.0004 ,  -   ,  0.0133 ,  -   ,  30 ,  0.58 ,  65.00 ,  95.00 ,  60.00 ,,NO,SI
,73,"  1,960 ",  348 ,  0.0005 ,  -   ,  0.0539 ,  -   ,  100 ,  0.13 ,  31.55 ,  105.00 ,  130.00 ,,NO,SI
,74,  329 ,  43 ,  0.0001 ,  0.0155 ,  0.0620 ,  250 ,"  1,000 ",  0.01 ,  26.16 ,  26.16 ,  60.27 ,,NO,SI
,75,  776 ,  128 ,  0.0019 ,  0.0112 ,  0.0447 ,  6 ,  24 ,  0.47 ,  55.00 ,  160.00 ,  200.00 ,,NO,SI
,76,"  1,054 ",  175 ,  0.0000 ,  0.0103 ,  0.0205 ,  250 ,  500 ,  0.04 ,  10.50 ,  40.00 ,  180.00 ,,NO,SI
,77,  625 ,  99 ,  0.0001 ,  0.0153 ,  0.0305 ,  250 ,  500 ,  0.04 ,  9.00 ,  40.00 ,  225.00 ,,NO,SI
,78,"  8,552 ","  1,527 ",  0.0000 ,  0.0103 ,  0.0205 ,  250 ,  500 ,  0.04 ,  9.40 ,  40.00 ,  180.00 ,,NO,SI
,79,"  9,842 ","  1,673 ",  0.0001 ,  0.0138 ,  0.0275 ,  250 ,  500 ,  0.05 ,  10.12 ,  40.00 ,  225.00 ,,NO,SI
,80,"  8,237 ","  1,422 ",  0.0000 ,  0.0103 ,  0.0205 ,  250 ,  500 ,  0.05 ,  8.55 ,  40.00 ,  180.00 ,,NO,SI
,81,"  14,109 ","  2,310 ",  0.0001 ,  0.0138 ,  0.0275 ,  250 ,  500 ,  0.06 ,  10.20 ,  40.00 ,  220.00 ,,NO,SI
,82,"  4,139 ",  677 ,  0.0001 ,  0.0093 ,  0.0186 ,  150 ,  300 ,  0.07 ,  10.26 ,  40.00 ,  280.00 ,,NO,SI
,83,"  2,613 ",  325 ,  0.0001 ,  0.0074 ,  0.0148 ,  100 ,  200 ,  0.08 ,  10.26 ,  35.00 ,  328.00 ,,NO,SI
,84,"  2,997 ",  480 ,  0.0000 ,  0.0105 ,  0.0210 ,  250 ,  500 ,  0.05 ,  10.20 ,  40.00 ,  180.00 ,,NO,SI
,85,"  6,555 ","  1,229 ",  0.0001 ,  0.0110 ,  0.0220 ,  200 ,  400 ,  0.07 ,  10.25 ,  40.00 ,  220.00 ,,NO,SI
,86,"  2,533 ",  439 ,  0.0001 ,  0.0093 ,  0.0186 ,  100 ,  200 ,  0.11 ,  10.25 ,  40.00 ,  380.00 ,,NO,SI
,87,"  1,750 ",  283 ,  0.0001 ,  0.0033 ,  0.0132 ,  25 ,  100 ,  0.17 ,  10.22 ,  40.00 ,  520.00 ,,NO,SI
,88,"  4,723 ",  689 ,  0.0001 ,  0.0067 ,  0.0134 ,  100 ,  200 ,  0.08 ,  10.43 ,  40.00 ,  225.00 ,,NO,SI
,89,"  2,770 ",  488 ,  0.0001 ,  0.0075 ,  0.0150 ,  100 ,  200 ,  0.12 ,  8.65 ,  40.00 ,  330.00 ,,NO,SI
,90,"  1,281 ",  212 ,  0.0001 ,  0.0033 ,  0.0130 ,  25 ,  100 ,  0.19 ,  10.50 ,  40.00 ,  460.00 ,,NO,SI
