,,,,,,,,,,,,,
,,,,,,,,,,,,,
,CODIGOS INVOLUCRADOS EN PEDIDOS JUNIO NOVIEMBRE,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Código II, Q. según pedidos, Promedio VTA, m3 x unidad, m3 x Inner, m3 x Master, Unidades x Inner, Unidades x Master, Peso [kgrs], Alto [mm], Ancho [mm], Largo [mm],,Es Sensible,Apto VLM
,5243,  13 ,  -   ,  0.0004 ,  0.0022 ,  0.0264 ,  6 ,  72 ,  0.13 ,  28.00 ,  60.90 ,  215.00 ,,NO,SI
,2444,"  1,061 ",  191 ,  0.0006 ,  0.0038 ,  0.0453 ,  6 ,  72 ,  0.19 ,  31.30 ,  66.81 ,  245.00 ,,NO,SI
,2445,  718 ,  145 ,  0.0001 ,  0.0017 ,  0.0133 ,  20 ,  160 ,  0.12 ,  20.00 ,  20.00 ,  88.00 ,,NO,SI
,2446,  515 ,  88 ,  0.0103 ,  0.0206 ,  0.0618 ,  2 ,  6 ,  8.88 ,  45.00 ,  580.00 ,  800.00 ,,NO,SI
,2447,  361 ,  50 ,  0.0003 ,  0.0033 ,  0.0196 ,  12 ,  72 ,  0.03 ,  22.30 ,  66.85 ,  190.00 ,,NO,SI
,2448,  354 ,  70 ,  0.0004 ,  0.0096 ,  0.0193 ,  24 ,  48 ,  0.12 ,  21.00 ,  100.00 ,  180.00 ,,NO,SI
,2449,  933 ,  154 ,  0.0017 ,  -   ,  0.0206 ,  -   ,  12 ,  0.17 ,  35.00 ,  90.00 ,  155.00 ,,NO,SI
,2450,"  1,025 ",  148 ,  0.0014 ,  0.0164 ,  0.0655 ,  12 ,  48 ,  0.23 ,  33.00 ,  150.00 ,  220.00 ,,NO,SI
,2451,  294 ,  47 ,  0.0084 ,  -   ,  0.0337 ,  -   ,  4 ,  1.64 ,  90.00 ,  250.00 ,  300.00 ,,NO,SI
,2452,"  4,843 ",  723 ,  0.0022 ,  0.0130 ,  0.0520 ,  6 ,  24 ,  0.35 ,  51.31 ,  160.00 ,  245.00 ,,NO,SI
,2453,  941 ,  188 ,  0.0057 ,  0.0344 ,  0.0689 ,  6 ,  12 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,5244,  76 ,  -   ,  0.0050 ,  0.0302 ,  0.0604 ,  6 ,  12 ,  1.01 ,  475.00 ,  265.00 ,  40.00 ,,NO,SI
,2454,  534 ,  93 ,  0.0057 ,  0.0344 ,  0.0689 ,  6 ,  12 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,5245,  31 ,  -   ,  0.0050 ,  0.0302 ,  0.0604 ,  6 ,  12 ,  0.98 ,  475.00 ,  265.00 ,  40.00 ,,NO,SI
,2455,  385 ,  55 ,  0.0004 ,  0.0026 ,  0.0208 ,  6 ,  48 ,  0.19 ,  18.00 ,  76.75 ,  220.00 ,,NO,SI
,2456,  237 ,  47 ,  0.0005 ,  0.0031 ,  0.0187 ,  6 ,  36 ,  0.38 ,  21.90 ,  88.00 ,  270.00 ,,NO,SI
,2457,  835 ,  117 ,  0.0022 ,  0.0129 ,  0.0518 ,  6 ,  24 ,  0.82 ,  25.50 ,  175.00 ,  350.00 ,,NO,SI
,2458,  665 ,  82 ,  0.0021 ,  0.0043 ,  0.0340 ,  2 ,  16 ,  0.72 ,  98.30 ,  100.30 ,  285.00 ,,NO,SI
,2459,  248 ,  39 ,  0.0021 ,  0.0063 ,  0.0504 ,  3 ,  24 ,  0.56 ,  69.00 ,  115.00 ,  270.00 ,,NO,SI
,2460,  931 ,  125 ,  0.0009 ,  0.0055 ,  0.0329 ,  6 ,  36 ,  0.52 ,  22.40 ,  103.00 ,  295.00 ,,NO,SI
,2461,  165 ,  28 ,  0.0019 ,  0.0095 ,  0.0190 ,  5 ,  10 ,  1.05 ,  36.00 ,  120.00 ,  330.00 ,,NO,SI
,2462,  165 ,  23 ,  0.0033 ,  -   ,  0.0330 ,  -   ,  10 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,2463,  25 ,  23 ,  0.1396 ,  -   ,  0.1396 ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,2464,"  1,497 ",  232 ,  0.0005 ,  0.0047 ,  0.0189 ,  10 ,  40 ,  0.40 ,  20.60 ,  130.00 ,  255.00 ,,NO,SI
,2465,  675 ,  111 ,  0.0005 ,  0.0032 ,  0.0322 ,  6 ,  60 ,  0.40 ,  17.17 ,  91.26 ,  285.00 ,,NO,SI
,2466,  508 ,  92 ,  0.0012 ,  0.0074 ,  0.0443 ,  6 ,  36 ,  0.58 ,  88.60 ,  400.00 ,  115.00 ,,NO,SI
,2467,  3 ,  5 ,  0.0001 ,  -   ,  0.0001 ,  -   ,  1 ,  0.20 ,  34.15 ,  34.15 ,  57.76 ,,NO,SI
,2468,  3 ,  3 ,  0.0001 ,  -   ,  0.0001 ,  -   ,  1 ,  0.15 ,  69.40 ,  69.40 ,  42.00 ,,NO,SI
,2469,  6 ,  1 ,  0.0001 ,  -   ,  0.0001 ,  -   ,  1 ,  0.08 ,  21.00 ,  21.00 ,  52.70 ,,NO,SI
,2470,  14 ,  4 ,  0.0001 ,  -   ,  0.0001 ,  -   ,  1 ,  0.02 ,  17.50 ,  17.50 ,  65.00 ,,NO,SI
,2471,  642 ,  111 ,  0.0006 ,  0.0097 ,  0.0194 ,  15 ,  30 ,  0.53 ,  4.00 ,  250.00 ,  282.00 ,,NO,SI
,2472,  985 ,  170 ,  0.0006 ,  0.0097 ,  0.0194 ,  15 ,  30 ,  0.54 ,  4.65 ,  250.00 ,  282.00 ,,NO,SI
,2473,  529 ,  86 ,  0.0006 ,  0.0097 ,  0.0194 ,  15 ,  30 ,  0.55 ,  4.44 ,  250.00 ,  285.00 ,,NO,SI
,2474,  251 ,  42 ,  0.0011 ,  0.0106 ,  0.0424 ,  10 ,  40 ,  0.19 ,  35.00 ,  105.00 ,  195.00 ,,NO,SI
,2475,"  1,274 ",  194 ,  0.0011 ,  0.0106 ,  0.0424 ,  10 ,  40 ,  0.22 ,  35.14 ,  105.00 ,  195.00 ,,NO,SI
,2476,"  1,264 ",  187 ,  0.0011 ,  0.0106 ,  0.0424 ,  10 ,  40 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,2477,  722 ,  107 ,  0.0011 ,  0.0106 ,  0.0424 ,  10 ,  40 ,  0.35 ,  35.06 ,  105.00 ,  195.00 ,,NO,SI
,2478,  271 ,  45 ,  0.0011 ,  0.0106 ,  0.0424 ,  10 ,  40 ,  0.47 ,  35.00 ,  105.00 ,  195.00 ,,NO,SI
,2479,  583 ,  92 ,  0.0011 ,  0.0106 ,  0.0424 ,  10 ,  40 ,  0.34 ,  34.97 ,  105.00 ,  195.00 ,,NO,SI
,2480,  352 ,  51 ,  0.0011 ,  0.0106 ,  0.0424 ,  10 ,  40 ,  0.46 ,  35.03 ,  105.00 ,  195.00 ,,NO,SI
,2481,  524 ,  64 ,  0.0011 ,  0.0106 ,  0.0424 ,  10 ,  40 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,2482,  375 ,  64 ,  0.0011 ,  0.0106 ,  0.0424 ,  10 ,  40 ,  0.59 ,  35.05 ,  105.00 ,  195.00 ,,NO,SI
,2483,  537 ,  74 ,  0.0000 ,  -   ,  0.0096 ,  -   ,  200 ,  0.03 ,  12.12 ,  60.00 ,  100.00 ,,NO,SI
,2484,  257 ,  42 ,  0.0001 ,  -   ,  0.0184 ,  -   ,  200 ,  0.03 ,  14.56 ,  60.00 ,  100.00 ,,NO,SI
,2485,  364 ,  58 ,  0.0001 ,  -   ,  0.0184 ,  -   ,  200 ,  0.04 ,  14.44 ,  60.00 ,  100.00 ,,NO,SI
,2486,  314 ,  48 ,  0.0001 ,  -   ,  0.0184 ,  -   ,  200 ,  0.05 ,  16.65 ,  60.00 ,  120.00 ,,NO,SI
,2487,  147 ,  30 ,  0.0017 ,  -   ,  0.0166 ,  -   ,  10 ,  1.04 ,  32.00 ,  150.00 ,  230.00 ,,NO,SI
,2488,  18 ,  60 ,  0.0007 ,  0.0040 ,  0.0397 ,  6 ,  60 ,  0.35 ,  45.00 ,  110.00 ,  270.00 ,,NO,SI
,5246,  345 ,  -   ,  0.0013 ,  0.0080 ,  0.0798 ,  6 ,  60 ,  0.35 ,  45.00 ,  110.00 ,  270.00 ,,NO,SI
,2489,  329 ,  56 ,  0.0006 ,  0.0033 ,  0.0331 ,  6 ,  60 ,  0.36 ,  31.50 ,  110.00 ,  275.00 ,,NO,SI
,2490,  329 ,  66 ,  0.0006 ,  0.0033 ,  0.0331 ,  6 ,  60 ,  0.40 ,  24.00 ,  110.00 ,  280.00 ,,NO,SI
,2491,  35 ,  -   ,  0.0000 ,  0.0010 ,  0.0010 ,  100 ,  100 ,  0.02 ,  12.40 ,  28.00 ,  30.00 ,,NO,SI
,2492,  3 ,  -   ,  0.0000 ,  0.0021 ,  0.0021 ,  100 ,  100 ,  0.02 ,  19.35 ,  28.60 ,  38.83 ,,NO,SI
,2493,  162 ,  24 ,  0.0003 ,  -   ,  0.0155 ,  -   ,  50 ,  0.37 ,  22.50 ,  45.00 ,  445.00 ,,NO,SI
,2494,  115 ,  18 ,  0.0003 ,  -   ,  0.0155 ,  -   ,  50 ,  0.40 ,  22.50 ,  45.00 ,  445.00 ,,NO,SI
,2495,  94 ,  17 ,  0.0003 ,  -   ,  0.0105 ,  -   ,  40 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,2496,  126 ,  14 ,  0.0003 ,  -   ,  0.0085 ,  -   ,  25 ,  0.55 ,  22.50 ,  40.00 ,  440.00 ,,NO,SI
,2497,  56 ,  10 ,  0.0002 ,  -   ,  0.0051 ,  -   ,  25 ,  0.60 ,  22.50 ,  40.00 ,  450.00 ,,NO,SI
,2498,  60 ,  9 ,  0.0004 ,  -   ,  0.0102 ,  -   ,  25 ,  0.70 ,  22.50 ,  40.00 ,  440.00 ,,NO,SI
,2499,  35 ,  6 ,  0.0002 ,  -   ,  0.0062 ,  -   ,  25 ,  0.78 ,  22.11 ,  40.00 ,  445.00 ,,NO,SI
,2500,  29 ,  4 ,  0.0006 ,  -   ,  0.0090 ,  -   ,  15 ,  0.89 ,  22.02 ,  40.00 ,  445.00 ,,NO,SI
,2501,  11 ,  4 ,  0.0002 ,  -   ,  0.0034 ,  -   ,  15 ,  1.14 ,  30.00 ,  40.00 ,  450.00 ,,NO,SI
,2502,  19 ,  3 ,  0.0004 ,  -   ,  0.0148 ,  -   ,  40 ,  0.50 ,  22.10 ,  40.00 ,  630.00 ,,NO,SI
,2503,  39 ,  4 ,  0.0004 ,  -   ,  0.0148 ,  -   ,  40 ,  0.55 ,  22.20 ,  40.00 ,  635.00 ,,NO,SI
,2504,  32 ,  6 ,  0.0005 ,  -   ,  0.0119 ,  -   ,  25 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,2505,  46 ,  13 ,  0.0005 ,  -   ,  0.0119 ,  -   ,  25 ,  0.83 ,  21.91 ,  40.00 ,  640.00 ,,NO,SI
,2506,  48 ,  6 ,  0.0003 ,  -   ,  0.0071 ,  -   ,  25 ,  0.89 ,  22.10 ,  40.00 ,  645.00 ,,NO,SI
,2507,  37 ,  5 ,  0.0002 ,  -   ,  0.0036 ,  -   ,  15 ,  1.03 ,  22.25 ,  40.00 ,  635.00 ,,NO,SI
,2508,  24 ,  4 ,  0.0009 ,  -   ,  0.0087 ,  -   ,  10 ,  1.21 ,  22.91 ,  40.00 ,  635.00 ,,NO,SI
,2509,  70 ,  7 ,  0.0002 ,  -   ,  0.0019 ,  -   ,  10 ,  1.34 ,  25.14 ,  40.00 ,  635.00 ,,NO,SI
,2510,  15 ,  4 ,  0.0012 ,  -   ,  0.0119 ,  -   ,  10 ,  1.90 ,  30.00 ,  40.00 ,  635.00 ,,NO,SI
,2511,  160 ,  32 ,  0.0004 ,  0.0103 ,  0.0207 ,  25 ,  50 ,#N/A,#N/A,#N/A,#N/A,,NO,SI
,2512,  306 ,  59 ,  0.0004 ,  0.0103 ,  0.0207 ,  25 ,  50 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,2513,  237 ,  43 ,  0.0004 ,  0.0081 ,  0.0163 ,  20 ,  40 ,  0.53 ,  35.00 ,  35.00 ,  155.00 ,,NO,SI
,2514,"  1,898 ",  315 ,  0.0004 ,  0.0087 ,  0.0175 ,  20 ,  40 ,  0.60 ,  40.00 ,  40.00 ,  155.00 ,,NO,SI
,2515,  466 ,  82 ,  0.0004 ,  0.0103 ,  0.0207 ,  25 ,  50 ,  0.33 ,  38.38 ,  38.87 ,  160.00 ,,NO,SI
,2516,  459 ,  74 ,  0.0004 ,  0.0103 ,  0.0207 ,  25 ,  50 ,  0.35 ,  38.82 ,  38.61 ,  150.00 ,,NO,SI
,2517,  176 ,  35 ,  0.0004 ,  0.0103 ,  0.0207 ,  25 ,  50 ,#N/A,#N/A,#N/A,#N/A,,NO,SI
,2518,  615 ,  97 ,  0.0004 ,  0.0103 ,  0.0207 ,  25 ,  50 ,  0.40 ,  38.80 ,  38.12 ,  165.00 ,,NO,SI
,2519,  153 ,  32 ,  0.0004 ,  0.0103 ,  0.0207 ,  25 ,  50 ,#N/A,#N/A,#N/A,#N/A,,NO,SI
,2520,  239 ,  38 ,  0.0004 ,  0.0103 ,  0.0207 ,  25 ,  50 ,  0.42 ,  40.00 ,  40.00 ,  165.00 ,,NO,SI
,2521,  155 ,  25 ,  0.0004 ,  0.0103 ,  0.0207 ,  25 ,  50 ,#N/A,#N/A,#N/A,#N/A,,NO,SI
,2522,"  1,330 ",  212 ,  0.0004 ,  0.0087 ,  0.0175 ,  20 ,  40 ,#N/A,#N/A,#N/A,#N/A,,NO,SI
,2523,  222 ,  36 ,  0.0004 ,  0.0087 ,  0.0175 ,  20 ,  40 ,#N/A,#N/A,#N/A,#N/A,,NO,SI
,2524,  311 ,  53 ,  0.0004 ,  0.0087 ,  0.0175 ,  20 ,  40 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,2525,  206 ,  35 ,  0.0004 ,  0.0081 ,  0.0163 ,  20 ,  40 ,  0.20 ,  40.00 ,  40.00 ,  175.00 ,,NO,SI
,2526,  958 ,  133 ,  0.0004 ,  0.0087 ,  0.0175 ,  20 ,  40 ,  0.58 ,  40.00 ,  40.00 ,  175.00 ,,NO,SI
,2527,  284 ,  37 ,  0.0027 ,  0.0275 ,  0.1099 ,  10 ,  40 ,  0.67 ,  43.87 ,  250.00 ,  260.00 ,,NO,SI
,2528,  524 ,  77 ,  0.0048 ,  -   ,  0.0476 ,  -   ,  10 ,  1.43 ,  61.05 ,  260.00 ,  275.00 ,,NO,SI
,2529,  299 ,  51 ,  0.0094 ,  -   ,  0.0378 ,  -   ,  4 ,  5.15 ,  75.00 ,  295.00 ,  380.00 ,,NO,SI
,2530,  203 ,  36 ,  0.0000 ,  -   ,  0.0039 ,  -   ,  100 ,  0.02 ,  26.88 ,  26.88 ,  130.00 ,,NO,SI
,2531,"  2,088 ",  413 ,  0.0002 ,  0.0028 ,  0.0562 ,  12 ,  240 ,  0.04 ,  17.00 ,  95.00 ,  155.00 ,,NO,SI
,2532,"  2,509 ",  473 ,  0.0002 ,  0.0029 ,  0.0344 ,  12 ,  144 ,  0.07 ,  22.00 ,  90.00 ,  155.00 ,,NO,SI
,2533,"  1,750 ",  273 ,  0.0002 ,  0.0029 ,  0.0344 ,  12 ,  144 ,  0.10 ,  18.00 ,  95.00 ,  155.00 ,,NO,SI
,2534,  749 ,  120 ,  0.0013 ,  0.0128 ,  0.0257 ,  10 ,  20 ,  0.58 ,  45.00 ,  110.00 ,  160.00 ,,NO,SI
,2535,  39 ,  243 ,  0.0023 ,  0.0114 ,  0.0229 ,  5 ,  10 ,  1.26 ,  60.00 ,  115.00 ,  200.00 ,,NO,SI
,5247,"  1,545 ",  -   ,  0.0014 ,  0.0069 ,  0.0138 ,  5 ,  10 ,  1.26 ,  60.00 ,  115.00 ,  200.00 ,,NO,SI
,2536,  452 ,  70 ,  0.0001 ,  -   ,  0.0207 ,  -   ,  150 ,  0.16 ,  35.00 ,  35.00 ,  85.00 ,,NO,SI
,2537,  435 ,  73 ,  0.0003 ,  0.0132 ,  0.0526 ,  50 ,  200 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,2538,  759 ,  99 ,  0.0003 ,  0.0132 ,  0.0528 ,  50 ,  200 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,2539,  704 ,  87 ,  0.0003 ,  0.0132 ,  0.0526 ,  50 ,  200 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,2540,  677 ,  89 ,  0.0003 ,  0.0132 ,  0.0526 ,  50 ,  200 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,2541,  237 ,  45 ,  0.0000 ,  0.0009 ,  0.0223 ,  30 ,  720 ,  0.03 ,  7.33 ,  14.70 ,  111.90 ,,NO,SI
,2542,  226 ,  39 ,  0.0000 ,  0.0010 ,  0.0228 ,  25 ,  600 ,  0.03 ,  8.77 ,  17.87 ,  130.22 ,,NO,SI
,2543,  383 ,  70 ,  0.0001 ,  0.0013 ,  0.0200 ,  25 ,  400 ,  0.05 ,  10.30 ,  22.42 ,  150.00 ,,NO,SI
,2544,  438 ,  74 ,  0.0001 ,  0.0013 ,  0.0202 ,  20 ,  320 ,  0.07 ,  12.85 ,  23.50 ,  160.00 ,,NO,SI
,2545,  486 ,  81 ,  0.0001 ,  0.0013 ,  0.0202 ,  20 ,  320 ,  0.09 ,  13.00 ,  28.40 ,  180.00 ,,NO,SI
,2546,  343 ,  63 ,  0.0001 ,  0.0020 ,  0.0162 ,  20 ,  160 ,  0.10 ,  14.40 ,  30.40 ,  190.00 ,,NO,SI
,2547,  173 ,  36 ,  0.0001 ,  0.0020 ,  0.0162 ,  15 ,  120 ,  0.12 ,  14.00 ,  33.16 ,  210.00 ,,NO,SI
,2548,  127 ,  28 ,  0.0002 ,  0.0026 ,  0.0155 ,  15 ,  90 ,  0.15 ,  14.60 ,  35.40 ,  220.00 ,,NO,SI
,2549,  142 ,  37 ,  0.0003 ,  0.0035 ,  0.0210 ,  12 ,  72 ,  0.19 ,  17.40 ,  40.00 ,  240.00 ,,NO,SI
,2550,  84 ,  22 ,  0.0003 ,  0.0035 ,  0.0210 ,  12 ,  72 ,  0.24 ,  16.45 ,  42.88 ,  260.00 ,,NO,SI
,2551,  131 ,  25 ,  0.0003 ,  0.0035 ,  0.0210 ,  12 ,  72 ,  0.25 ,  20.56 ,  44.72 ,  265.00 ,,NO,SI
,2552,  107 ,  20 ,  0.0003 ,  0.0035 ,  0.0210 ,  12 ,  72 ,  0.31 ,  17.34 ,  49.16 ,  290.00 ,,NO,SI
,2553,  84 ,  24 ,  0.0004 ,  0.0035 ,  0.0211 ,  10 ,  60 ,  0.32 ,  20.29 ,  55.34 ,  300.00 ,,NO,SI
,2554,  646 ,  127 ,  0.0000 ,  0.0009 ,  0.0223 ,  30 ,  720 ,  0.03 ,  7.06 ,  14.07 ,  111.11 ,,NO,SI
,5248,  13 ,  -   ,  0.0000 ,  0.0003 ,  0.0079 ,  30 ,  720 ,  0.03 ,  7.10 ,  14.10 ,  111.10 ,,NO,SI
,2555,"  1,113 ",  204 ,  0.0000 ,  0.0009 ,  0.0223 ,  30 ,  720 ,  0.03 ,  8.50 ,  16.77 ,  121.00 ,,NO,SI
,5249,  8 ,  -   ,  0.0000 ,  0.0005 ,  0.0124 ,  30 ,  720 ,  0.03 ,  8.50 ,  16.80 ,  121.00 ,,NO,SI
,2556,"  1,756 ",  336 ,  0.0000 ,  0.0010 ,  0.0228 ,  25 ,  600 ,  0.03 ,  9.50 ,  17.92 ,  130.00 ,,NO,SI
,5250,  8 ,  -   ,  0.0000 ,  0.0006 ,  0.0133 ,  25 ,  600 ,  0.03 ,  9.50 ,  17.90 ,  130.00 ,,NO,SI
,2557,  861 ,  177 ,  0.0001 ,  0.0013 ,  0.0200 ,  25 ,  400 ,  0.05 ,  8.17 ,  20.16 ,  140.00 ,,NO,SI
,5251,  7 ,  -   ,  0.0000 ,  0.0006 ,  0.0092 ,  25 ,  400 ,  0.05 ,  8.20 ,  20.20 ,  140.00 ,,NO,SI
,2558,"  2,973 ",  542 ,  0.0001 ,  0.0013 ,  0.0202 ,  20 ,  320 ,  0.05 ,  11.00 ,  22.00 ,  150.00 ,,NO,SI
,2559,"  2,359 ",  391 ,  0.0001 ,  0.0013 ,  0.0202 ,  20 ,  320 ,  0.07 ,  11.40 ,  23.10 ,  160.00 ,,NO,SI
,2560,"  1,258 ",  243 ,  0.0001 ,  0.0013 ,  0.0202 ,  20 ,  320 ,  0.07 ,  9.60 ,  25.55 ,  170.00 ,,NO,SI
,2561,"  2,602 ",  430 ,  0.0001 ,  0.0020 ,  0.0162 ,  20 ,  160 ,  0.08 ,  14.26 ,  28.50 ,  180.00 ,,NO,SI
,2562,"  1,468 ",  278 ,  0.0001 ,  0.0020 ,  0.0162 ,  20 ,  160 ,  0.10 ,  14.30 ,  30.10 ,  190.00 ,,NO,SI
,2563,"  1,127 ",  193 ,  0.0001 ,  0.0020 ,  0.0162 ,  20 ,  160 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,2564,  979 ,  178 ,  0.0001 ,  0.0020 ,  0.0162 ,  15 ,  120 ,  0.12 ,  14.27 ,  33.30 ,  210.00 ,,NO,SI
,2565,"  1,416 ",  251 ,  0.0002 ,  0.0026 ,  0.0155 ,  15 ,  90 ,  0.15 ,  15.90 ,  35.35 ,  120.00 ,,NO,SI
,2566,  699 ,  131 ,  0.0002 ,  0.0026 ,  0.0155 ,  15 ,  90 ,  0.16 ,  18.81 ,  37.56 ,  230.00 ,,NO,SI
,2567,"  1,152 ",  190 ,  0.0003 ,  0.0035 ,  0.0210 ,  12 ,  72 ,  0.19 ,  21.07 ,  40.48 ,  240.00 ,,NO,SI
,2568,  409 ,  78 ,  0.0003 ,  0.0035 ,  0.0210 ,  12 ,  72 ,  0.21 ,  20.62 ,  41.25 ,  250.00 ,,NO,SI
,2569,  416 ,  82 ,  0.0003 ,  0.0035 ,  0.0210 ,  12 ,  72 ,  0.25 ,  18.00 ,  43.55 ,  260.00 ,,NO,SI
,2570,  597 ,  113 ,  0.0003 ,  0.0035 ,  0.0210 ,  12 ,  72 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,2571,  338 ,  66 ,  0.0003 ,  0.0035 ,  0.0210 ,  12 ,  72 ,  0.27 ,  21.66 ,  46.37 ,  280.00 ,,NO,SI
,2572,  684 ,  126 ,  0.0003 ,  0.0035 ,  0.0210 ,  12 ,  72 ,  0.31 ,  23.16 ,  48.66 ,  290.00 ,,NO,SI
,2573,  297 ,  52 ,  0.0015 ,  0.0175 ,  0.0350 ,  12 ,  24 ,  0.60 ,  30.00 ,  155.00 ,  235.00 ,,NO,SI
,5252,  3 ,  -   ,  0.0011 ,  0.0131 ,  0.0262 ,  12 ,  24 ,  0.60 ,  30.00 ,  155.00 ,  235.00 ,,NO,SI
,2574,  513 ,  82 ,  0.0028 ,  0.0165 ,  0.0330 ,  6 ,  12 ,  0.90 ,  36.10 ,  220.00 ,  240.00 ,,NO,SI
,5253,  6 ,  -   ,  0.0019 ,  0.0114 ,  0.0228 ,  6 ,  12 ,  0.90 ,  36.10 ,  220.00 ,  240.00 ,,NO,SI
,2575,  401 ,  88 ,  0.0010 ,  -   ,  0.0200 ,  -   ,  20 ,  1.00 ,  48.30 ,  64.00 ,  325.00 ,,NO,SI
,2576,  288 ,  48 ,  0.0024 ,  0.0120 ,  0.0480 ,  5 ,  20 ,  0.25 ,  35.98 ,  170.00 ,  280.00 ,,NO,SI
,2577,  301 ,  48 ,  0.0024 ,  0.0120 ,  0.0480 ,  5 ,  20 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,2578,  678 ,  107 ,  0.0006 ,  -   ,  0.0282 ,  -   ,  50 ,  0.34 ,  28.44 ,  105.00 ,  140.00 ,,NO,SI
,2579,"  1,841 ",  244 ,  0.0006 ,  -   ,  0.0282 ,  -   ,  50 ,  0.32 ,  28.44 ,  105.00 ,  140.00 ,,NO,SI
,2580,  456 ,  81 ,  0.0001 ,  0.0040 ,  0.0079 ,  50 ,  100 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,2581,"  2,011 ",  303 ,  0.0001 ,  0.0045 ,  0.0090 ,  50 ,  100 ,  0.14 ,  17.64 ,  17.18 ,  170.00 ,,NO,SI
,2582,  609 ,  103 ,  0.0026 ,  -   ,  0.0922 ,  -   ,  36 ,  0.44 ,  61.40 ,  200.00 ,  180.00 ,,NO,SI
,2583,  334 ,  48 ,  0.0034 ,  -   ,  0.0678 ,  -   ,  20 ,  0.42 ,  63.30 ,  135.00 ,  335.00 ,,NO,SI
,2584,  668 ,  92 ,  0.0002 ,  0.0090 ,  0.0180 ,  50 ,  100 ,  0.08 ,  25.00 ,  25.00 ,  190.00 ,,NO,SI
,2585,"  1,411 ",  237 ,  0.0004 ,  0.0045 ,  0.0180 ,  12 ,  48 ,  0.25 ,  34.00 ,  65.00 ,  105.00 ,,NO,SI
,2586,"  1,688 ",  279 ,  0.0004 ,  0.0025 ,  0.0302 ,  6 ,  72 ,  0.18 ,  27.30 ,  110.00 ,  140.00 ,,NO,SI
,2587,  438 ,  83 ,  0.0096 ,  -   ,  0.0480 ,  -   ,  5 ,  2.57 ,  81.00 ,  310.00 ,  240.00 ,,NO,SI
,2588,  433 ,  92 ,  0.0095 ,  -   ,  0.0762 ,  -   ,  8 ,  3.06 ,  56.60 ,  250.00 ,  350.00 ,,NO,SI
,5254,  11 ,  -   ,  0.0050 , #VALUE!,  0.0396 , -,  8 ,  3.06 ,  56.60 ,  250.00 ,  350.00 ,,NO,SI
,2589,  172 ,  76 ,  0.0002 ,  -   ,  0.0229 ,  -   ,  100 ,  0.06 ,  22.07 ,  60.00 ,  260.00 ,,NO,SI
,5255,  415 ,  -   ,  0.0003 , #VALUE!,  0.0344 , -,  100 ,  0.06 ,  22.10 ,  60.00 ,  260.00 ,,NO,SI
,2590,  148 ,  31 ,  0.0072 ,  -   ,  0.0360 ,  -   ,  5 ,  3.94 ,  81.81 ,  300.00 ,  235.00 ,,NO,SI
,2591,  96 ,  53 ,  0.0004 ,  0.0020 ,  0.0160 ,  5 ,  40 ,  0.30 ,  31.60 ,  70.00 ,  290.00 ,,NO,SI
,5256,  281 ,  -   ,  0.0006 ,  0.0032 ,  0.0256 ,  5 ,  40 ,  0.30 ,  31.60 ,  70.00 ,  290.00 ,,NO,SI
,2592,  705 ,  124 ,  0.0163 ,  -   ,  0.0654 ,  -   ,  4 ,  5.31 ,  205.00 ,  215.00 ,  330.00 ,,NO,SI
,2593,  67 ,  9 ,  0.0184 ,  -   ,  0.0368 ,  -   ,  2 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,2594,  49 ,  163 ,  0.0009 ,  0.0051 ,  0.0306 ,  6 ,  36 ,  0.52 ,  31.00 ,  90.00 ,  360.00 ,,NO,SI
,5257,  875 ,  -   ,  0.0010 ,  0.0060 ,  0.0360 ,  6 ,  36 ,  0.52 ,  31.00 ,  90.00 ,  360.00 ,,NO,SI
,2595,  168 ,  33 ,  0.0004 ,  0.0024 ,  0.0192 ,  6 ,  48 ,  0.35 ,  18.74 ,  55.41 ,  300.00 ,,NO,SI
,2596,  183 ,  36 ,  0.0004 ,  0.0024 ,  0.0192 ,  6 ,  48 ,  0.38 ,  24.42 ,  57.13 ,  310.00 ,,NO,SI
,2597,  396 ,  50 ,  0.0004 ,  0.0025 ,  0.0200 ,  6 ,  48 ,  0.43 ,  26.16 ,  59.50 ,  320.00 ,,NO,SI
