,,,,,,,,,,,,,
,,,,,,,,,,,,,
,CODIGOS INVOLUCRADOS EN PEDIDOS JUNIO NOVIEMBRE,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Código II, Q. según pedidos, Promedio VTA, m3 x unidad, m3 x Inner, m3 x Master, Unidades x Inner, Unidades x Master, Peso [kgrs], Alto [mm], Ancho [mm], Largo [mm],
,18,  636 ,  107 ,  0.0010 ,  0.0123 ,  0.0492 ,  12 ,  48 ,  0.28 ,  31.50 ,  130.00 ,  305.00 ,
,19,  737 ,  116 ,  0.0010 ,  0.0123 ,  0.0492 ,  12 ,  48 ,  0.32 ,  31.00 ,  130.00 ,  305.00 ,
,20,"  1,002 ",  160 ,  0.0010 ,  0.0123 ,  0.0492 ,  12 ,  48 ,  0.25 ,  31.04 ,  128.05 ,  305.00 ,
,21,"  1,943 ",  332 ,  0.0019 ,  -   ,  0.0742 ,  -   ,  40 ,  0.23 ,  75.75 ,  140.00 ,  420.00 ,
,22,"  1,284 ",  206 ,  0.0040 ,  -   ,  0.0804 ,  -   ,  20 ,  -   ,  -   ,  -   ,  -   ,
,23,  511 ,  80 ,  0.0003 ,  -   ,  0.0169 ,  -   ,  50 ,  0.26 ,  29.50 ,  68.00 ,  144.00 ,
,24,"  1,110 ",  191 ,  0.0010 ,  0.0102 ,  0.0305 ,  10 ,  30 ,  0.72 ,  25.30 ,  120.00 ,  285.00 ,
,25,"  1,388 ",  225 ,  0.0002 ,  0.0022 ,  0.0220 ,  12 ,  120 ,  0.19 ,  20.50 ,  66.50 ,  140.00 ,
,26,"  1,437 ",  194 ,  0.0003 ,  0.0032 ,  0.0256 ,  12 ,  96 ,  -   ,  -   ,  -   ,  -   ,
,27,"  1,142 ",  210 ,  0.0004 ,  0.0041 ,  0.0244 ,  10 ,  60 ,  0.54 ,  24.00 ,  100.00 ,  205.00 ,
,28,  836 ,  127 ,  0.0006 ,  0.0053 ,  0.0213 ,  9 ,  36 ,  0.80 ,  100.00 ,  31.77 ,  237.00 ,
,29,  698 ,  88 ,  0.0003 ,  -   ,  0.0170 ,  -   ,  50 ,  0.31 ,  22.00 ,  90.00 ,  210.00 ,
,30,  773 ,  123 ,  0.0007 ,  -   ,  0.0176 ,  -   ,  25 ,  0.65 ,  25.50 ,  125.00 ,  380.00 ,
,31,  868 ,  108 ,  0.0009 ,  -   ,  0.0215 ,  -   ,  25 ,  0.73 ,  25.00 ,  130.00 ,  480.00 ,
,32,"  2,063 ",  329 ,  0.0002 ,  0.0060 ,  0.0360 ,  40 ,  240 ,  -   ,  -   ,  -   ,  -   ,
,33,  790 ,  130 ,  0.0002 ,  0.0029 ,  0.0230 ,  13 ,  104 ,  0.11 ,  16.65 ,  80.00 ,  120.00 ,
,34,  202 ,  83 ,  0.0014 ,  0.0167 ,  0.0502 ,  12 ,  36 ,  0.43 ,  39.23 ,  95.00 ,  366.00 ,
,34,  242 ,  83 ,  0.0014 ,  0.0167 ,  0.0502 ,  12 ,  36 ,  0.43 ,  39.23 ,  95.00 ,  366.00 ,
,35,  243 ,  24 ,  0.0016 ,  -   ,  0.0324 ,  -   ,  20 ,  0.45 ,  43.50 ,  130.00 ,  185.00 ,
,5157,  45 ,  -   ,  0.0016 , #VALUE!,  0.0324 , -,  20 ,  0.60 ,  44.00 ,  130.00 ,  185.00 ,
,36,  760 ,  121 ,  0.0003 ,  -   ,  0.0170 ,  -   ,  50 ,  0.33 ,  22.03 ,  85.00 ,  260.00 ,
,37,"  1,717 ",  347 ,  0.0053 ,  -   ,  0.1050 ,  -   ,  20 ,  0.70 ,  67.00 ,  138.00 ,  470.00 ,
,38,  58 ,  6 ,  0.0001 ,  -   ,  0.0060 ,  -   ,  50 ,  0.05 ,  25.00 ,  70.00 ,  45.00 ,
,39,"  7,360 ","  1,285 ",  0.0001 ,  -   ,  0.0105 ,  -   ,  100 ,  0.13 ,  24.50 ,  65.00 ,  80.00 ,
,40,"  4,914 ",  847 ,  0.0001 ,  -   ,  0.0131 ,  -   ,  100 ,  0.15 ,  24.00 ,  65.00 ,  95.00 ,
,41,"  2,312 ",  429 ,  0.0002 ,  -   ,  0.0158 ,  -   ,  100 ,  0.17 ,  24.06 ,  65.00 ,  100.00 ,
,42,"  5,094 ",  854 ,  0.0013 ,  0.0065 ,  0.0517 ,  5 ,  40 ,  -   ,  -   ,  -   ,  -   ,
,43,"  2,964 ",  448 ,  0.0013 ,  0.0256 ,  0.1026 ,  20 ,  80 ,  0.32 ,  31.00 ,  180.00 ,  205.00 ,
,44,"  7,181 ","  1,287 ",  0.0001 ,  -   ,  0.0148 ,  -   ,  200 ,#N/A,#N/A,#N/A,#N/A,
,45,"  3,727 ",  658 ,  0.0001 ,  -   ,  0.0112 ,  -   ,  200 ,  0.06 ,  13.50 ,  75.00 ,  70.00 ,
,46,"  2,407 ",  397 ,  0.0009 ,  0.0055 ,  0.0333 ,  6 ,  36 ,  0.64 ,  29.29 ,  135.00 ,  325.00 ,
,47,"  1,306 ",  240 ,  0.0012 ,  0.0116 ,  0.0580 ,  10 ,  50 ,  0.23 ,  26.40 ,  250.00 ,  98.00 ,
,48,"  1,923 ",  278 ,  0.0005 ,  0.0055 ,  0.0545 ,  10 ,  100 ,  0.10 ,  27.50 ,  85.00 ,  345.00 ,
,49,  47 ,  8 ,  0.0001 ,  -   ,  0.0060 ,  -   ,  50 ,  0.12 ,  35.00 ,  45.00 ,  40.00 ,
,50,  52 ,  9 ,  0.0002 ,  -   ,  0.0044 ,  -   ,  25 ,  0.70 ,  20.00 ,  100.00 ,  60.00 ,
,51,  413 ,  53 ,  0.0031 ,  -   ,  0.0313 ,  -   ,  10 ,  -   ,  -   ,  -   ,  -   ,
,52,  229 ,  31 ,  0.0026 ,  -   ,  0.0255 ,  -   ,  10 ,  1.97 ,  31.30 ,  180.00 ,  900.00 ,
,53,  325 ,  118 ,  0.0029 ,  -   ,  0.0343 ,  -   ,  12 ,  1.11 ,  35.00 ,  205.00 ,  630.00 ,
,5158,  256 ,  -   ,  0.0045 , #VALUE!,  0.0542 , -,  12 ,  1.11 ,  35.00 ,  205.00 ,  630.00 ,
,54,"  1,580 ",  269 ,  0.0036 ,  -   ,  0.0655 ,  -   ,  18 ,  -   ,  -   ,  -   ,  -   ,
,55,"  2,350 ",  408 ,  0.0008 ,  0.0076 ,  0.0458 ,  10 ,  60 ,  0.43 ,  27.50 ,  105.00 ,  245.00 ,
,56,"  2,804 ",  536 ,  0.0002 ,  0.0041 ,  0.0203 ,  20 ,  100 ,  0.10 ,  15.00 ,  73.00 ,  162.00 ,
,57,"  1,006 ",  171 ,  0.0002 ,  0.0041 ,  0.0203 ,  20 ,  100 ,  0.10 ,  15.00 ,  73.00 ,  162.00 ,
,58,"  1,196 ",  202 ,  0.0013 ,  -   ,  0.0312 ,  -   ,  24 ,  0.34 ,  45.00 ,  155.00 ,  155.00 ,
,59,"  3,781 ",  336 ,  0.0002 ,  0.0025 ,  0.0200 ,  13 ,  104 ,  0.05 ,  8.70 ,  60.00 ,  120.36 ,
,60,  326 ,  120 ,  0.0017 ,  -   ,  0.0175 ,  -   ,  10 ,  1.40 ,  63.00 ,  95.00 ,  250.00 ,
,61,  912 ,  133 ,  0.0002 ,  0.0095 ,  0.0189 ,  50 ,  100 ,  0.07 ,  10.75 ,  60.00 ,  250.00 ,
,62,"  1,440 ",  244 ,  0.0002 ,  0.0092 ,  0.0183 ,  50 ,  100 ,  0.11 ,  13.13 ,  60.00 ,  250.00 ,
,63,"  1,510 ",  249 ,  0.0002 ,  0.0092 ,  0.0183 ,  50 ,  100 ,  0.11 ,  13.03 ,  60.00 ,  250.00 ,
,64,"  1,119 ",  183 ,  0.0007 ,  0.0169 ,  0.0337 ,  25 ,  50 ,  0.30 ,  19.00 ,  110.00 ,  350.00 ,
,65,  489 ,  84 ,  0.0008 ,  0.0120 ,  0.0240 ,  15 ,  30 ,  0.65 ,  20.50 ,  110.00 ,  330.00 ,
,66,  895 ,  182 ,  0.0004 ,  0.0021 ,  0.0169 ,  5 ,  40 ,  0.20 ,  22.22 ,  60.00 ,  200.00 ,
,67,"  1,013 ",  157 ,  0.0004 ,  0.0021 ,  0.0169 ,  5 ,  40 ,  0.30 ,  29.47 ,  60.00 ,  200.00 ,
,68,  757 ,  102 ,  0.0003 ,  -   ,  0.0287 ,  -   ,  100 ,  0.18 ,  36.00 ,  40.00 ,  63.00 ,
,69,  478 ,  66 ,  0.0003 ,  -   ,  0.0149 ,  -   ,  50 ,  0.14 ,  50.00 ,  80.00 ,  50.00 ,
,70,"  3,317 ",  562 ,  0.0003 ,  -   ,  0.0149 ,  -   ,  50 ,  0.30 ,  50.00 ,  80.00 ,  50.00 ,
,71,  550 ,  107 ,  0.0003 ,  -   ,  0.0149 ,  -   ,  50 ,  0.26 ,  42.00 ,  42.00 ,  66.00 ,
,72,  937 ,  170 ,  0.0004 ,  -   ,  0.0133 ,  -   ,  30 ,  0.58 ,  65.00 ,  95.00 ,  60.00 ,
,73,"  1,960 ",  348 ,  0.0005 ,  -   ,  0.0539 ,  -   ,  100 ,  0.13 ,  31.55 ,  105.00 ,  130.00 ,
,74,  329 ,  43 ,  0.0001 ,  0.0155 ,  0.0620 ,  250 ,"  1,000 ",  0.01 ,  26.16 ,  26.16 ,  60.27 ,
,75,  776 ,  128 ,  0.0019 ,  0.0112 ,  0.0447 ,  6 ,  24 ,  0.47 ,  55.00 ,  160.00 ,  200.00 ,
,76,"  1,054 ",  175 ,  0.0000 ,  0.0103 ,  0.0205 ,  250 ,  500 ,  0.04 ,  10.50 ,  40.00 ,  180.00 ,
,77,  625 ,  99 ,  0.0001 ,  0.0153 ,  0.0305 ,  250 ,  500 ,  0.04 ,  9.00 ,  40.00 ,  225.00 ,
,78,"  8,552 ","  1,527 ",  0.0000 ,  0.0103 ,  0.0205 ,  250 ,  500 ,  0.04 ,  9.40 ,  40.00 ,  180.00 ,
,79,"  9,842 ","  1,673 ",  0.0001 ,  0.0138 ,  0.0275 ,  250 ,  500 ,  0.05 ,  10.12 ,  40.00 ,  225.00 ,
,80,"  8,237 ","  1,422 ",  0.0000 ,  0.0103 ,  0.0205 ,  250 ,  500 ,  0.05 ,  8.55 ,  40.00 ,  180.00 ,
,81,"  14,109 ","  2,310 ",  0.0001 ,  0.0138 ,  0.0275 ,  250 ,  500 ,  0.06 ,  10.20 ,  40.00 ,  220.00 ,
,82,"  4,139 ",  677 ,  0.0001 ,  0.0093 ,  0.0186 ,  150 ,  300 ,  0.07 ,  10.26 ,  40.00 ,  280.00 ,
,83,"  2,613 ",  325 ,  0.0001 ,  0.0074 ,  0.0148 ,  100 ,  200 ,  0.08 ,  10.26 ,  35.00 ,  328.00 ,
,84,"  2,997 ",  480 ,  0.0000 ,  0.0105 ,  0.0210 ,  250 ,  500 ,  0.05 ,  10.20 ,  40.00 ,  180.00 ,
,85,"  6,555 ","  1,229 ",  0.0001 ,  0.0110 ,  0.0220 ,  200 ,  400 ,  0.07 ,  10.25 ,  40.00 ,  220.00 ,
,86,"  2,533 ",  439 ,  0.0001 ,  0.0093 ,  0.0186 ,  100 ,  200 ,  0.11 ,  10.25 ,  40.00 ,  380.00 ,
,87,"  1,750 ",  283 ,  0.0001 ,  0.0033 ,  0.0132 ,  25 ,  100 ,  0.17 ,  10.22 ,  40.00 ,  520.00 ,
,88,"  4,723 ",  689 ,  0.0001 ,  0.0067 ,  0.0134 ,  100 ,  200 ,  0.08 ,  10.43 ,  40.00 ,  225.00 ,
,89,"  2,770 ",  488 ,  0.0001 ,  0.0075 ,  0.0150 ,  100 ,  200 ,  0.12 ,  8.65 ,  40.00 ,  330.00 ,
,90,"  1,281 ",  212 ,  0.0001 ,  0.0033 ,  0.0130 ,  25 ,  100 ,  0.19 ,  10.50 ,  40.00 ,  460.00 ,
,91,  631 ,  78 ,  0.0001 ,  0.0105 ,  0.0210 ,  150 ,  300 ,  0.10 ,  10.50 ,  40.00 ,  225.00 ,
,92,  813 ,  128 ,  0.0001 ,  -   ,  0.0161 ,  -   ,  125 ,  -   ,  -   ,  -   ,  -   ,
,93,  713 ,  99 ,  0.0002 ,  -   ,  0.0106 ,  -   ,  60 ,  0.26 ,  12.50 ,  40.00 ,  460.00 ,
,94,  596 ,  91 ,  0.0001 ,  0.0059 ,  0.0117 ,  75 ,  150 ,  0.11 ,  10.50 ,  40.00 ,  225.00 ,
,95,  583 ,  87 ,  0.0002 ,  0.0111 ,  0.0222 ,  50 ,  100 ,  0.32 ,  13.50 ,  40.00 ,  530.00 ,
,96,  313 ,  48 ,  0.0003 ,  0.0026 ,  0.0132 ,  10 ,  50 ,  0.42 ,  16.00 ,  40.00 ,  540.00 ,
,97,  255 ,  41 ,  0.0001 ,  -   ,  0.0123 ,  -   ,  100 ,  0.20 ,  16.50 ,  40.00 ,  275.00 ,
,98,  580 ,  89 ,  0.0002 ,  0.0048 ,  0.0096 ,  25 ,  50 ,  0.31 ,  16.50 ,  40.00 ,  375.00 ,
,99,  497 ,  68 ,  0.0003 ,  -   ,  0.0132 ,  -   ,  40 ,  0.58 ,  18.30 ,  40.00 ,  520.00 ,
,100,  647 ,  100 ,  0.0004 ,  -   ,  0.0106 ,  -   ,  25 ,  0.75 ,  20.50 ,  40.00 ,  500.00 ,
,101,  396 ,  51 ,  0.0002 ,  -   ,  0.0112 ,  -   ,  50 ,  0.39 ,  20.50 ,  40.00 ,  325.00 ,
,102,  242 ,  31 ,  0.0261 ,  -   ,  0.0522 ,  -   ,  2 ,  -   ,  -   ,  -   ,  -   ,
,103,  927 ,  220 ,  0.0001 ,  0.0008 ,  0.0475 ,  6 ,  360 ,  -   ,  -   ,  -   ,  -   ,
,104,"  2,162 ",  473 ,  0.0001 ,  0.0008 ,  0.0475 ,  6 ,  360 ,  0.04 ,  27.50 ,  27.50 ,  170.00 ,
,105,"  2,003 ",  501 ,  0.0002 ,  0.0013 ,  0.0504 ,  6 ,  240 ,  0.07 ,  31.00 ,  31.00 ,  205.00 ,
,5159,  64 ,  -   ,  0.0002 ,  0.0012 ,  0.0473 ,  6 ,  240 ,  0.07 ,  31.00 ,  31.00 ,  205.00 ,
,106,"  2,375 ",  361 ,  0.0002 ,  0.0013 ,  0.0504 ,  6 ,  240 ,  0.06 ,  30.00 ,  30.00 ,  200.00 ,
,107,"  3,153 ",  657 ,  0.0002 ,  0.0013 ,  0.0504 ,  6 ,  240 ,  0.06 ,  30.00 ,  30.00 ,  200.00 ,
,108,"  1,710 ",  326 ,  0.0002 ,  0.0015 ,  0.0294 ,  6 ,  120 ,  0.09 ,  33.50 ,  33.50 ,  210.00 ,
,109,  873 ,  203 ,  0.0002 ,  0.0015 ,  0.0294 ,  6 ,  120 ,  0.09 ,  33.50 ,  33.50 ,  210.00 ,
,110,"  1,514 ",  291 ,  0.0002 ,  0.0015 ,  0.0294 ,  6 ,  120 ,  -   ,  -   ,  -   ,  -   ,
,111,  695 ,  142 ,  0.0003 ,  0.0019 ,  0.0310 ,  6 ,  96 ,  0.13 ,  35.43 ,  35.43 ,  216.00 ,
,112,  59 ,  11 ,  0.0160 ,  -   ,  0.0160 ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   ,
,113,"  1,439 ",  245 ,  0.0008 ,  0.0076 ,  0.0458 ,  10 ,  60 ,  0.40 ,  27.00 ,  110.00 ,  250.00 ,
,114,  51 ,  8 ,  0.0001 ,  -   ,  0.0060 ,  -   ,  50 ,  0.37 ,  25.00 ,  70.00 ,  50.00 ,
,115,  58 ,  8 ,  0.0001 ,  -   ,  0.0060 ,  -   ,  50 ,  0.32 ,  30.00 ,  55.00 ,  45.00 ,
,116,  50 ,  4 ,  0.0001 ,  -   ,  0.0060 ,  -   ,  50 ,  0.25 ,  30.00 ,  45.00 ,  40.00 ,
,117,  30 ,  6 ,  0.0001 ,  -   ,  0.0060 ,  -   ,  50 ,  0.21 ,  32.00 ,  45.00 ,  39.00 ,
,118,  24 ,  2 ,  0.0001 ,  -   ,  0.0060 ,  -   ,  50 ,  0.18 ,  35.00 ,  45.00 ,  40.00 ,
,119,"  1,122 ",  209 ,  0.0004 ,  -   ,  0.0388 ,  -   ,  100 ,  0.14 ,  14.30 ,  110.00 ,  150.00 ,
,120,  631 ,  105 ,  0.0022 ,  -   ,  0.0431 ,  -   ,  20 ,  1.54 ,  30.00 ,  135.00 ,  475.00 ,
,121,  609 ,  99 ,  0.0034 ,  -   ,  0.0340 ,  -   ,  10 ,  2.40 ,  34.07 ,  155.00 ,  630.00 ,
,5160,  16 ,  -   ,  0.0033 , #VALUE!,  0.0332 , -,  10 ,  2.40 ,  34.10 ,  155.00 ,  630.00 ,
,122,  133 ,  25 ,  0.0069 ,  -   ,  0.0344 ,  -   ,  5 ,  5.48 ,  45.00 ,  190.00 ,  930.00 ,
,123,  636 ,  97 ,  0.0027 ,  -   ,  0.0544 ,  -   ,  20 ,  1.02 ,  60.00 ,  117.00 ,  325.00 ,
,124,"  1,068 ",  190 ,  0.0011 ,  0.0136 ,  0.0543 ,  12 ,  48 ,  0.39 ,  35.00 ,  105.00 ,  315.00 ,
,125,  957 ,  150 ,  0.0011 ,  0.0137 ,  0.0546 ,  12 ,  48 ,  0.39 ,  35.00 ,  105.00 ,  315.00 ,
,126,"  4,308 ",  643 ,  0.0011 ,  0.0136 ,  0.0543 ,  12 ,  48 ,  0.39 ,  35.00 ,  105.00 ,  315.00 ,
,127,  975 ,  679 ,  0.0008 ,  0.0202 ,  0.0806 ,  25 ,  100 ,  0.24 ,  26.00 ,  100.00 ,  295.00 ,
,5161,"  2,972 ",  -   ,  0.0008 ,  0.0192 ,  0.0767 ,  25 ,  100 ,  0.24 ,  26.00 ,  100.00 ,  295.00 ,
,128,  202 ,  29 ,  0.0026 ,  -   ,  0.0315 ,  -   ,  12 ,  1.15 ,  73.04 ,  105.00 ,  260.00 ,
,129,"  1,137 ",  170 ,  0.0039 ,  -   ,  0.0389 ,  -   ,  10 ,  -   ,  -   ,  -   ,  -   ,
,130,  802 ,  121 ,  0.0044 ,  -   ,  0.0438 ,  -   ,  10 ,  0.65 ,  55.00 ,  140.00 ,  240.00 ,
,131,"  1,091 ",  170 ,  0.0015 ,  -   ,  0.0292 ,  -   ,  20 ,  0.45 ,  70.00 ,  70.00 ,  260.00 ,
,132,  223 ,  70 ,  0.0042 ,  -   ,  0.0504 ,  -   ,  12 ,  -   ,  -   ,  -   ,  -   ,
,5162,  172 ,  -   ,  0.0074 , #VALUE!,  0.0886 , -,  12 ,  1.35 ,  35.00 ,  285.00 ,  740.00 ,
,133,  918 ,  146 ,  0.0000 ,  -   ,  0.0270 ,  -   ,"  1,000 ",  0.02 ,  12.80 ,  32.75 ,  55.85 ,
,134,"  6,183 ",  988 ,  0.0001 ,  0.0053 ,  0.0265 ,  100 ,  500 ,  0.04 ,  17.15 ,  40.40 ,  79.35 ,
,135,"  1,214 ",  184 ,  0.0001 ,  0.0018 ,  0.0267 ,  20 ,  300 ,  0.07 ,  21.83 ,  44.50 ,  84.84 ,
,136,"  7,090 ","  1,086 ",  0.0003 ,  0.0084 ,  0.0168 ,  25 ,  50 ,  0.30 ,  4.53 ,  200.00 ,  242.00 ,
,137,"  6,361 ","  1,000 ",  0.0003 ,  0.0084 ,  0.0168 ,  25 ,  50 ,  0.30 ,  5.00 ,  200.00 ,  245.00 ,
,138,  971 ,  193 ,  0.0011 ,  -   ,  0.0535 ,  -   ,  50 ,  0.38 ,  27.50 ,  309.00 ,  105.00 ,
,139,  275 ,  50 ,  0.0011 ,  -   ,  0.0550 ,  -   ,  50 ,  0.45 ,  31.00 ,  85.00 ,  185.00 ,
,140,  127 ,  31 ,  0.0040 ,  -   ,  0.2000 ,  -   ,  50 ,  0.24 ,  37.50 ,  73.00 ,  130.00 ,
,141,"  4,285 ",  763 ,  0.0001 ,  0.0007 ,  0.0293 ,  6 ,  240 ,  0.03 ,  14.30 ,  45.00 ,  190.00 ,
,142,  601 ,  109 ,  0.0002 ,  0.0042 ,  0.0168 ,  25 ,  100 ,  0.16 ,  6.50 ,  152.00 ,  220.00 ,
,143,  773 ,  135 ,  0.0002 ,  0.0043 ,  0.0340 ,  25 ,  200 ,  0.07 ,  16.45 ,  100.00 ,  135.00 ,
,144,  979 ,  155 ,  0.0001 ,  0.0008 ,  0.0076 ,  10 ,  100 ,  0.08 ,  25.00 ,  25.00 ,  78.50 ,
,145,"  1,017 ",  180 ,  0.0001 ,  0.0008 ,  0.0076 ,  10 ,  100 ,  0.09 ,  24.83 ,  24.83 ,  78.00 ,
,146,  557 ,  93 ,  0.0001 ,  0.0008 ,  0.0076 ,  10 ,  100 ,  0.10 ,  25.00 ,  25.00 ,  79.00 ,
,147,  645 ,  110 ,  0.0001 ,  0.0008 ,  0.0076 ,  10 ,  100 ,  0.10 ,  25.00 ,  25.00 ,  79.00 ,
,148,  730 ,  94 ,  0.0001 ,  0.0008 ,  0.0076 ,  10 ,  100 ,  0.12 ,  25.00 ,  25.00 ,  79.00 ,
,149,  332 ,  65 ,  0.0001 ,  0.0008 ,  0.0076 ,  10 ,  100 ,  0.13 ,  25.00 ,  25.00 ,  77.50 ,
,150,  311 ,  52 ,  0.0001 ,  0.0008 ,  0.0076 ,  10 ,  100 ,  0.14 ,  25.00 ,  25.00 ,  78.50 ,
,151,  313 ,  42 ,  0.0051 ,  -   ,  0.0254 ,  -   ,  5 ,  3.90 ,  35.61 ,  785.00 ,  175.00 ,
,152,"  1,673 ",  313 ,  0.0009 ,  -   ,  0.0214 ,  -   ,  25 ,  0.72 ,  45.00 ,  75.00 ,  195.00 ,
,153,"  1,639 ",  346 ,  0.0035 ,  -   ,  0.0696 ,  -   ,  20 ,  1.14 ,  50.25 ,  195.00 ,  225.00 ,
,154,  409 ,  79 ,  0.0009 ,  -   ,  0.0189 ,  -   ,  20 ,"  1,224.00 ",  49.00 ,  59.00 ,  278.00 ,
,155,  60 ,  12 ,  0.0054 ,  -   ,  0.0538 ,  -   ,  10 ,  2.64 ,  52.62 ,  205.00 ,  345.00 ,
,156,  175 ,  33 ,  0.0024 ,  -   ,  0.0244 ,  -   ,  10 ,"  1,727.00 ",  53.00 ,  105.00 ,  231.00 ,
,157,  365 ,  64 ,  0.0100 ,  -   ,  0.0399 ,  -   ,  4 ,  -   ,  105.00 ,  275.00 ,  290.00 ,
,158,  19 ,  3 ,  0.0004 ,  -   ,  0.0078 ,  -   ,  20 ,  0.57 ,  30.00 ,  150.00 ,  80.00 ,
,159,  28 ,  6 ,  0.0005 ,  -   ,  0.0095 ,  -   ,  20 ,  -   ,  -   ,  -   ,  -   ,
,160,  11 ,  4 ,  0.0012 ,  -   ,  0.0230 ,  -   ,  20 ,  1.41 ,  50.00 ,  170.00 ,  135.00 ,
,161,  16 ,  3 ,  0.0011 ,  -   ,  0.0110 ,  -   ,  10 ,  1.90 ,  50.00 ,  170.00 ,  135.00 ,
,162,  2 ,  331 ,  0.0031 ,  -   ,  0.0371 ,  -   ,  12 ,  0.69 ,  29.50 ,  425.00 ,  127.00 ,
,5163,"  1,786 ",  -   ,  0.0016 , #VALUE!,  0.0191 , -,  12 ,  0.69 ,  29.50 ,  425.00 ,  127.00 ,
,163,"  3,152 ",  466 ,  0.0001 ,  0.0045 ,  0.0225 ,  50 ,  250 ,  0.06 ,  17.32 ,  17.73 ,  230.00 ,
,164,"  2,555 ",  405 ,  0.0001 ,  0.0045 ,  0.0180 ,  50 ,  200 ,  0.09 ,  17.35 ,  17.81 ,  230.00 ,
,165,"  1,245 ",  191 ,  0.0001 ,  0.0047 ,  0.0188 ,  50 ,  200 ,  0.12 ,  17.54 ,  18.19 ,  230.00 ,
,166,  683 ,  59 ,  0.0001 ,  0.0074 ,  0.0147 ,  50 ,  100 ,  0.14 ,  22.00 ,  22.00 ,  230.00 ,
,167,  352 ,  50 ,  0.0001 ,  0.0074 ,  0.0147 ,  50 ,  100 ,  0.18 ,  22.50 ,  22.50 ,  230.00 ,
,168,  252 ,  30 ,  0.0002 ,  0.0117 ,  0.0234 ,  50 ,  100 ,  0.20 ,  30.36 ,  30.36 ,  230.00 ,
,169,  200 ,  29 ,  0.0003 ,  0.0125 ,  0.0250 ,  50 ,  100 ,  0.22 ,  31.00 ,  31.00 ,  215.00 ,
,170,  90 ,  12 ,  0.0003 ,  0.0125 ,  0.0250 ,  50 ,  100 ,  0.25 ,  27.00 ,  27.00 ,  225.00 ,
,171,  80 ,  16 ,  0.0003 ,  0.0069 ,  0.0138 ,  25 ,  50 ,  -   ,  -   ,  -   ,  -   ,
